ID	P1Q1	P1Q2	P1Q3	P1Q4	P1Q5	P1Q6	P1Q7	P1Q8	P1Q9	P2Q1	P2Q2	P2Q3	P2Q4	P2Q5	P2Q6	P2Q7	P2Q8	P2Q9	P2Q10	P3Q1	P3Q2	P3Q3	P3Q4	P3Q5	P3Q6	P3Q7	P3Q8	P3Q9	P3Q10	P4Q1	P4Q2	P4Q3	P4Q4	P4Q5	P4Q6	P4Q7	P4Q8	P4Q9	P4Q10
59	"5
3"	"D, E"	D	b 56	"h 
l
o"	"B, C"	E	"A, D"	"A, B, C, E, F"	44	41	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"30, 26, 34, 21, 28, 54"	"A, B, C, D, E"	9	"MAD
MID
MIDTERM
MIND
MINT"	"A, B"	5	4	10	4	9	B	C	"C, E"
60	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"B, D, E"	42	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	C	3	"13, 12, 18, 5, 15, 26"	1	0	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D"	7	"MAD
MID
MIDTERM
MIND
MINT
"	B	4	4	4	4	4	B	B	"C, D, E"
61	"5 
3"	E	"A, B, C"	break myprogram.cpp:56	"h
l
o"	A	E	"B, C, D"	"A, B, D, F"	44	51	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	8	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	24	4	4	B	E	"C, E"
62	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp: 56	"h
l
o"	B	D	"B, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	8	4	6	B	C	"C, E"
63	"5
3
"	D	"A, B"	break myprogram.cpp:56	"h
l
o
"	"B, C"	E	"B, C, D"	"A, B, C, E, F"	1	99	2	"A, C, D"	B	"E, C, F, B, G, A, L"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	6	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	3	24	4	4	B	C	"C, D"
64	"5
3"	E	"A, B, C"	break myprogram.cpp:56	hlo	"B, C"	E	"B, C, D"	"A, B, F"	44	49	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 26, 15"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	E	"C, E"
65	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp 56	"h
l
o"	E	E	"B, C, D"	"A, B, C, E, F"	43	50	2	"A, C, D"	"B, D"	"E, C, F, B, G, A, L"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 30, 21, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	9	B	G	"C, E"
66	"5
3"	E	"A, B, C"	b 56 myprogram.cpp	"h
l
o"		E	B	"B, C, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	1	"13, 12, 18, 5, 15, 26"	2	1		"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	5	B	C	"C, E"
67	"5
3"	E	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"A, B"	E	"A, B"	"A, B, C, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 15, 5, 18, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"A, C, E"
68	"5
3"	"D, E"	"A, B, C"	break main.cpp:56	"h
l
o"	D	E	"B, C, D"	"B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	4	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	G	"C, E"
69	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"	44	50	3	"A, C, D"	D	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	B	5	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	25	4	5	B	C	"C, E"
70	"5
3"	E	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, C, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT
"	"B, D"	3	4	10	4		A	B	"C, E"
71	"5
3
"	D	"A, B, C"	b myprogram.cpp:56	"h
l
o
"	"B, D"	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D, E"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3		2	1	"A, D"	"26, 21, 34, 24, 28, 54"		"A, B, C, D"	8		"B, D"	4	4	4	3		B	G	A
72	"5
3"	E	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"A, B, D, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	"A, D"	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"		4	8	4		B	B	"C, E"
73	"5
5
"	"D, E"	"A, B, C"	break main.cpp:56	"h
l
o"	"B, C, D"	D	"B, C, D"	"B, D, E"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	A			"A, B, C, D, E"	6	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	6	B	C	"C, E"
74	"5
3"	"D, E"	"A, B, C"	break mypogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"	1	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	4	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	8	B	C	"C, E"
75	"5
3"	E	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1		"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	8	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	1	B	C	"C, D, E"
76	"5
3"	E		b myprogram.cpp:56	"h
l
o"	"A, C"	E	"B, C, D"	"A, B, C, F"	44	6	2	"A, C, D"	D	"E, C, L, B, F, A, G"	C	A	2	A	"A, C, D"	1	"13, 12, 26, 5, 15, 18"	2	0	D	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"mad
mid
midterm
mind
mint"	B	4	4	9	3	24	B	C	"A, E"
77	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"C, D"	"A, B, C, F"		50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"		"A, B, C, D, E"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4		B	C	"C, E"
78	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"B, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	1	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	8	"MAD
MID
MIDTERM
MIND
MINT"	B	5	4	9	4	4	B	B	"C, D, E"
79	"5
3
"	"D, E"	"A, B, C"	b 56	"h
l
o
"	B	E	"B, C, D"	"A, B, C, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	E	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	24	4	5	C	C	"C, E"
80	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, B, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint"	B	4	4	10	4	5	B	C	"C, E"
81	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, D"	D	"B, D"	"A, B, C, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	6	B	C	"C, E"
82	"5
3"	D	"A, B, C"	break myprogram.cpp:56	hlo	B	E	"A, B, C"	"A, B, C, E, F"	44	49	2	"A, C, D"	B	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	4	B	C	"A, B, C, E"
83	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	C	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	F	4	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	12	4	4	B	E	"C, E"
84	"5
5"	D	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"C, D"	D	"C, D"	"A, B, C, F"	44	50	2	"A, C, D"	B	"E, C, L, B, F, A, G"	C	A	2	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, E"	4	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	E	"C, E"
85	"5
3"	D	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"B, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"34, 26, 54, 21, 28, 30"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	C	"C, E"
86	"5
5"	E	"A, B, C"	break 56	"h
l
o"	C	E	"A, D"	"A, B, C, F"	44	99	2	"A, C, D"	D	"E, C, L, B, F, A, G"	C	A	3	B	"A, C, D"	3	"13, 12, 26, 5, 15, 18"	2	1	"C, D"	"26, 24, 34, 21, 28, 54"	"26, 21, 34, 28, 30, 54"	"C, D, E"	9	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	4	4	4	B	B	"A, E"
87	"5
3
"	D	"A, B, C"	break 56	"h
l
o
"	"B, C"	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	3	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	C	"C, E"
88	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	"B, D"	E	"A, B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"34, 24, 54, 21, 26, 28"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT
"	"B, D"	4	4	11	4	13	B	C	"A, C, E"
89	"5
3"	D	"A, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, F"	44	99	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A		B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	1	0	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	8	"Mad
Mid
Midterm
Mind
Mint"	"B, D"	4	4	17	4	5	B	C	"A, C, D, E"
90	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, C, E, F"	44	50	2	"A, C, D"	"B, C, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	4	B	C	"C, E"
91	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o
"	E	E	"A, B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"26, 28, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	13	4	5	B	B	"C, D, E"
92	"5
3"	D	"A, B, C"	break 56	"h
l
o"	"A, B"	E	"B, C, D"	"A, B, C, F"	44	99	0	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	"B, C"	4	4	10	4	4	B	E	"C, E"
93	"5
5"	D	"A, B, C"	b 56 	"h
l
o"	B	E	"A, B, C, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	3	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	24	4	8	B	C	"A, B, C, E"
94	"5
3
"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"A, B, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"C, D, E"
95	"5
3"	A	"A, B, C"	b myprogram.cpp 56	"h
l
o"	B	E	"B, C, D"	"A, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, B, F, L, A, G"	A	A	2	B	"C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"		"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	B	5	4	10	4	4	B	C	"C, E"
96	"5
3"	"D, E"	"A, B, C"	b myprogam.cpp: 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"	44	49	2	"A, D"	"B, C, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	0	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	10	4	4	B	C	"C, E"
97	"5
3"	D	"A, C"	break 56	"h
l
o"	E	E	"A, B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D, E"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"34, 28, 54, 26, 21, 30"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"C, E"
98	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, F"	42	49	2	"A, D"	"B, D"	"E, C, L, B, F, A, G"	C	D	2	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	2	E	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	6	"mad
mid
midterm
mind
mint"	"B, D"	4	4	8	4	6	B	C	"C, D, E"
99	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"B, C, E, F"	44	51	2	"A, C, D"	"B, D"	"E, C, F, B, G, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"21, 24, 26, 28, 34, 54"	"21, 30, 26, 28, 34, 54"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	9	4	8	B	C	"A, C, E"
100	"5
3"	"B, E"	"A, C"	break myprogram.cpp:56	hlo	"A, B, C"	E	"B, C, D"	"A, B, C, F"	44	50	2	"A, C, D"	B	"E, C, L, B, F, A, G"	C	A	2	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"28, 24, 34, 21, 26, 54"	"28, 26, 34, 21, 30, 54"	"A, C"	7	"MAD
MID
MIDTERM
MIND
MINT

"	B	4	4	9	8	8	B	F	"C, E"
101	"5
5"	"D, E"	"A, B, C"	break myprogram.cpp:14	"h
l
o"	B	D	"A, B, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	C	3	"13, 12, 18, 5, 15, 26"	1	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	3	C	C	
102	"5
3"	D	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	10	4	4	B	C	"C, E"
103	"5
3"	D	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	C	"C, E"
104	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
0"	"B, C"	E	"A, B, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"34, 24, 54, 21, 26, 28"	"34, 26, 54, 21, 30, 28"	"A, B, C, D, E"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	9	4	5	B	C	"A, C, E"
105	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp: 56	"h
l
o
"	"B, C"	E	"B, C, D"	"B, C, F"	44	50	2	"A, C, D"	A	"A, B, C, G, F, L, E"	C	C	2	"B, C, D"	"A, C"	3	"13, 12, 18, 5, 15, 26"	1	2	"A, B"	"34, 26, 54, 24, 28, 21"	"34, 30, 54, 26, 28, 21"	"A, C, D"	7		"B, C, D"	4	3	24	24	24	B	E	"A, D"
106	"5
3"	B	"A, B, C"	break 56		"B, C"	D	A	"D, E"	44	51	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	1	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	1	E	"34, 26, 54, 21, 28, 24"	"34, 26, 54, 21, 28, 30"	"C, E"	4	"MAD
MID
MIDTERM
MIND
MINT"	C	4	4	24	4	5	C	C	"C, E"
107	"5
5"	"D, E"	"A, B, C"	break 56	"h
l
o"	"B, C"	D	C	"B, C, D, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint
"	B	4	4	9	4	3	B	C	"C, D, E"
108	"2
5
"	D	"A, B, C"	break 56	"h
l
o
"	E	E	"B, D"	"A, B, C, E, F"	44	48	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"34, 26, 54, 24, 28, 21"	"34, 30, 54, 26, 28, 21"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	25			B	E	"A, B"
109	"5
3
"	E	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"A, B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"34, 26, 54, 21, 28, 30"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	3	B	C	"C, E"
110	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o
S E G M E N T A T I O N F A U L T (CORE DUMPED) ?"	"B, C"	E	"B, C, D"	"B, C, D, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	3	B	C	"C, E"
111	"5
3
"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o
"	"A, B"	E	"B, C, D"		44		2	"A, C, D"	"B, D"	"E, C, F, B, G, A, L"	C	A	2	C	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	E	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	F	7	"MAD
MID
MIDTERM
MIND
MINT
"	"B, D"	4	4	10	4	5	B	B	"A, C, E"
112	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56 	hlo	"B, C"	E	"B, C, D"	"A, B, C, E, F"	44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT
"	"B, D"	4	4	9			B	E	"C, E"
113	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	8	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	4	B	C	"C, E"
114	"5
3"	D	"A, B, C"	break 56	"h
l
o"	B	E	"A, B, D"	"A, B, C, E, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	F	7	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	3	B	C	"C, E"
115	"5
3"	E	"A, B, C"	b 56	hlo	C	D	"A, D"	"B, C, F"	44	49	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	2	"C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D, E"	7	"mad
mid
midterm
mind
mint
"	"B, C"	4	1	6	3	4	B	G	"A, E"
116	"5
3"	"A, B, D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, F"	44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT
"	B	3	4	10	4	4	B	G	"C, E"
