Identifier	Correct	P1 (Q1)	P1 (Q2)	P1 (Q3)	P1 (Q4)	P1 (Q5)	P1 (Q6)	P1 (Q7)	P1 (Q8)	P1 (Q9)	P1 (Q10)	P2 (Q1)	P2 (Q2)	P2 (Q3)	P2 (Q4)	P2 (Q5)	P2 (Q6)	P2 (Q7)	P2 (Q8)	P2 (Q9)	P2 (Q10)	P3 (Q1)	P3 (Q2)	P3 (Q3)	P3 (Q4)	P3 (Q5)	P3 (Q6)	P3 (Q7)	P3 (Q8)	P3 (Q9)	P3 (Q10)	P4 (Q1)	P4 (Q2)	P4 (Q3)	P4 (Q4)	P4 (Q5)	P4 (Q6)	P4 (Q7)	P4 (Q8)	P4 (Q9)	P4 (Q10)
112	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q8),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	hlo	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9			B	E	"C, E"
113	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	8	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	4	B	C	"C, E"
114	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	break 56	"h
l
o"	B	E	"A, B, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	F	7	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	3	B	C	"C, E"
115	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q3),P4 (Q7),P4 (Q8)"	"5
3"	E	"A, B, C"	b 56	hlo	C	D	"A, D"	"B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	2	"C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D, E"	7	"mad
mid
midterm
mind
mint"	"B, C"	4	1	6	3	4	B	G	"A, E"
116	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q10)"	"5
3"	"A, B, D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	3	4	10	4	4	B	G	"C, E"
117	"P1 (Q1),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q8),P3 (Q9),P4 (Q1),P4 (Q3),P4 (Q6),P4 (Q10)"	"5
3"	D	A	b 56	"h
l
o"	"B, C"	E	"A, B, D"	"A, B, C, E, F"		1	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"34, 24, 54, 21, 26, 28"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	8	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4		25	4	6	A	B	"C, E"
118	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, F, B, G, A, L"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	G	"C, E"
119	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	E	"A, B, C"	b myprogram.cpp:56	hlo	B	E	"B, D"	"A, B, C, F"		42	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	C	"A, B, C, E"
120	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:57	"h
l 
o"	"A, B"	E	"B, C, D"	"A, B, C, E, F"		43	50	2	"A, C, D"	"B, D, E"	"E, C, G, B, F, L, A"	C	A	2	B	"C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D"	4	"mad
mid
midterm 
mind 
mint"	"B, D"	4	4	10	4		B	G	"D, E"
121	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	51	2	"A, C, D"	"B, D, E"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"C, E"
122	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8)"	"5
3"	D	"A, B, C"	break myprogram.cpp:57	"h
l
o"	"B, C"	E		"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	"A, D"	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9	4	4	B	E	"A, C, E"
123	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"C, E"
124	"P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q9),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q10)"		E	"A, B, C"	break 56	hlo		E	"C, D"	"B, E, F"			50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C"			"A, B, C, D"	5	"MAD
MID
MIDTERM
MIND
MINT"	E	4	4	9	4	4	B	B	"C, E"
125	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q9),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q10),P3 (Q3),P3 (Q4),P3 (Q8),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	3	B	"A, C"	4	"13, 12, 18, 5, 15, 26"	2	4	A	"34, 24, 54, 21, 28, 26"	"28, 26, 34, 21, 30, 54"	"B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, D"	4	4	9	5	5	B	C	F
126	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q2),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	E	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C"	3	"13, 12, 15, 5, 26, 18"	2	1	"A, C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	4	"mad
mid
midterm
mind
mint"	"B, D"	4	4	9	4	9	B	C	"B, C"
127	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q7),P4 (Q1),P4 (Q2),P4 (Q8)"	"5
3"	D	"A, B, C"	(gdb) break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"B, D, E"		43	8	2	"B, C, D"	"A, C"	"E, C, F, B, G, A, L"	C	B	5	D	E	2	"13, 12, 18, 5, 26, 15"	0	2	"B, D"	"34, 26, 54, 24, 28, 21"	"34, 21, 26, 54, 28, 30"	"A, C, D"	8	"MAD
MID
MIDTERM
MIND
MINT"	B	0	3	2	5	3	B	B	"A, C, D"
128	"P1 (Q1),P1 (Q2),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q7),P4 (Q9)"	"5
3"	"D, E"	"A, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, F"		44	49	2	"A, C, D"	D	"E, C, L, B, F, A, G"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"		"A, B, C, D, E"	8	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, D"	4	4	4	5	4	G	C	
129	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, C, F"		45	99	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	5	10	4	5	B	C	"A, C, E"
130	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	break myprogram:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		43	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND"	E	4	4	8	4	4	B	C	"C, E"
131	"P1 (Q1),P1 (Q2),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q9),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		43	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	0	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"34, 28, 54, 26, 21, 30"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	9	D	C	"C, E"
132	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q10)"	"5
3"	C	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	51	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	0	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	3	3				"A, C, E"	7										
133	"P1 (Q3),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q10)"			"A, B, C"		hello!	"B, D"	D	B	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	2	E	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	B	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	F	6	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	5	B	B	"C, E"
134	"P1 (Q4),P1 (Q5),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q5),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q5),P4 (Q2),P4 (Q3),P4 (Q4)"	"5
5"	D	A	break myprogram.cpp:56	"h
l
o"	D	D	"B, C, D"	"A, B, D, F"		44	50	2	"A, B, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	1						"mad
mid
midterm
mind
mint"	B	4	4						
135	"P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8)"	"5 
5"	C	"A, B, C"	break 56	"h 
l
o"	"B, C"	E	"A, B, D"	"A, B, C, F"		44	7	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD 
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	9	4	5	B	E	C
136	"P1 (Q3),P1 (Q4),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5, 3 (assuming that namespace was declared as standard and iostream was included further up in the file)"	D	"A, B, C"	break myprogram.cpp:56	hlo (assuming that vector was included and namespace was declared as standard further up in the file)	"A, B, C"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	3	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D, E"	7	"mad
mid
midterm
mind
mint"	B	4	4	8	4	3	B	C	C
137	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	"B, D"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	6	B	C	"A, C"
138	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q9),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"		"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	C	"C, E"
139	"P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"2
5"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"B, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, B, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	8	B	C	"A, C, E"
140	"P1 (Q1),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q6),P4 (Q9)"	"5
3"	D	"A, C"	b 56	hlo	D	E	"B, D"	"A, D"		44	51	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	3	3	"A, C"	"26, 54, 21, 34, 24, 28"	"21, 26, 30, 28, 34, 54"	"A, C"	8	"M
Ma
Mi
Min
Mit
Mite
Miter"	"B, D"	3	3	9	9	9	C	C	"A, C"
141	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P4 (Q3),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	"B, C"	D	"B, C, D"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"21, 24, 26, 28, 34, 54"				"mad
mid
midterm
mind
mint"	"B, D"	4	5	10	4	4	B	E	"C, E"
